Chemical,Sentence
"6-(hydroxymethyl)oxane-2,4,5-triol","6-(hydroxymethyl)oxane-2,4,5-triol is a chemical compound with the molecular formula C17H25O6. It is a white, odorless, color"
(2-hydroxy-5-methylsulfanyl-3-oxopent-1-enyl) dihydrogen phosphate,"The chemical compound, (2-hydroxy-5-methylsulfanyl-3-oxopent-1-enyl) dihydrogen phosphate, is a highly reactive, water-sol"
"2-hydroxy-6-oxonona-2,4-dienedioic acid","The 2-hydroxy-6-oxonona-2,4-dienedioic acid is a white amorphous solid with a molecular weight of 410.48. It has a melting"
2-hydroxypentanedioic acid,2-hydroxypentanedioic acid is a chemical compound found in the cells of plants and animals. It is used in the production of plastics and textiles.
2-hydroxypropanedioate,2-hydroxypropanedioate is a chemical compound that is a fatty acid ester of propane and an alcohol.
2-hydroxypropanedioic acid,The chemical compound 2-hydroxypropanedioic acid is a molecule made up of two carbon atoms joined together by a single bond.
"4,5-dihydroxy-2-oxo-6-phosphonooxyhexanoic acid","4,5-dihydroxy-2-oxo-6-phosphonooxyhexanoic acid forms a variety of salts, aromatic, aliphatic, and more."
3-methyl-2-oxopentanoic acid,"3-methyl-2-oxopentanoic acid is a non-polar chemical compound that is commonly found in many natural products, such as crude extracts of the red pine tree."
"5-amino-2,5-dioxopentanoic acid","5-amino-2,5-dioxopentanoic acid is a chemical compound with the chemical formula C8H15NO2."
3-methyl-2-oxobutanoic acid,"The compound, 3-methyl-2-oxobutanoic acid, is a member of the butanoic acid family, which includes many foods such as butter, milk, and bread."
"3,4,5,6-tetrahydroxy-2-oxohexanoic acid","3,4,5,6-tetrahydroxy-2-oxohexanoic acid is an aromatic compound. It is a member of the benzofuran family and is commercially synthesized"
2-oxopentanedioic acid,"2-oxopentanedioic acid (C20H24O4) is a colorless, water-soluble, and lipophilic compound. It is a common by-product of the dec"
"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-hydroxy-2-methylbutanethioate",A novel peptide having the general formula NH2(C2H5)2(OCH3)2(CN)2(CCC)C(=CHC2C(=NO2)C2C2=
"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 2-methyl-3-oxobutanethioate",Given the chemical compound S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-
"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 2-methylbutanethioate",S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy
"3-(3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)benzene-1,2-diol","During the course of the study, the authors identified an increase in the expression of genes involved in mitochondrial activity, including the mitochondrial oxidative phosphorylation (OxyP) pathway."
"2-(3,7,11,15,19,23,27-heptamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)-6-methoxyphenol","A new crystallographic structure has been determined for a molecule called 2-(3,7,11,15,19,23,27-heptamethyldotriaconta-"
"2-(3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)phenol","A new compound, 2-(3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,"
2-oxobutanoic acid,"The compound is a colorless, odorless, and tasteless liquid with a melting point of 40°C and a boiling point of 151°C."
3-hydroxy-2-phosphonooxypropanoic acid,"The bacteria found in aquatic environments have been shown to metabolize two specific types of marine phospholipids, 3-hydroxy-2-phosphonooxypropanoic acid (3HPPA)"
"[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] (2,4-dihydroxy-3-methyl-3-phosphonooxybutyl) hydrogen phosphate",The compound is a potent inhibitor of the enzyme ubiquitin ligase (ubiquitin protein ligase H8) and a selective inhibitor of the mitogen-activated protein kinase M
"2,3-diphosphonooxypropanoic acid","2,3-diphosphonooxypropanoic acid is a chemical compound with the chemical formula C6H12O3P. This compound is a dicarboxylic acid with two phosphorus atoms"
"2,4,5-trichlorocyclohexa-2,5-dien-1-ol","2,4,5-trichlorocyclohexa-2,5-dien-1-ol is a potent inhibitor of the cytochrome P450 isoenzyme CYP1"
"2,4-diaminopentanoic acid","2,4-diaminopentanoic acid is a chemical compound that has a molecular formula of C5H11N2O3."
"2,5-dichlorocyclohexa-2,5-diene-1,4-diol","A chemical compound with the formula C12H10Cl2 is used as a precursor for the production of 2,5-dichloro-1,1,3,3-tetramethyl-1"
"2,5-dichlorobenzene-1,4-diol","The chemical compound 2,5-dichlorobenzene-1,4-diol is a colorless, oily liquid with a strong, pungent odor and a bitter taste."
"2,5-dichlorophenol","A chemical compound with the molecular formula C2H2Cl2 is called 2,5-dichlorophenol."
"3,4,6-trihydroxy-2,5-dioxohexanoic acid",A new study has shown that a common genetic mutation
"2,4-dihydroxy-6-(hydroxymethyl)-6-methyl-2,4-dioxo-1,3,5,2lambda5,4lambda5-trioxadiphosphocan-7-ol","The compound is a colorless, odorless liquid that has a bitter and metallic taste. It is stable at room temperature and is slowly oxidized to produce hydrogen peroxide."
"2-hydroxy-6-oxohepta-2,4-dienoic acid","2-hydroxy-6-oxohepta-2,4-dienoic acid is a common substance used in cosmetics. Its chemical compound has a chemical formula of C6H10O3"
4-methyl-2-oxopentanoic acid,Methylene blue is a potent antibiotic that is used to treat bacterial infections caused by gram-negative
2-oxohexanedioic acid,"The chemical compound, 2-oxohexanedioic acid, is a potent inhibitor of enzymes involved in the biosynthesis of carotenoid pigments."
"3,4-dihydroxybenzoic acid","Amino acids are the building blocks of proteins, which are the critical component of all living organisms."
[5-(6-aminopurin-9-yl)-4-hydroxy-2-(phosphonooxymethyl)oxolan-3-yl] dihydrogen phosphate,"[5-(6-aminopurin-9-yl)-4-hydroxy-2-(phosphonooxymethyl)oxolan-3-yl] dihydrogen phosphate, a compound having the"
"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-oxobutanethioate","A new chemical compound, S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-"
3-aminopropanal,"The amphipathic peptide, which is a homolog of the neurotrophic amphipathic peptide, has been reported to bind to and stimulate the activity of chloride channels in synapt"
"3-hydroxy-10,13-dimethyl-1,2,3,4,7,8,9,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-17-one","The compound, which is a plant hormone, is known for its ability to stimulate growth and increase root mass."
2-hydroxy-2-propan-2-ylbutanedioic acid,"The chemical compound, 2-hydroxy-2-propan-2-ylbutanedioic acid, is an ester of butanediol, alkanolamine, and ethanolamine."
2-amino-3-chloropropanoic acid,The chemical compound 2-amino-3-chloropropano
pyridine-3-carbonitrile,"A hydrogen bond formed between the nitrogen atom of pyridine and the carbon-carbon double bond of carbonitrile, creating a stable, π-conjugated cyclic system."
"4,5-dihydroxy-3-oxocyclohexene-1-carboxylic acid","The 4,5-dihydroxy-3-oxocyclohexene-1-carboxylic acid has a strong affinity for water, which facilitates its absorption. It has a strong affinity for"
"4,5,6-trihydroxy-2-oxo-7-phosphonooxyheptanoic acid","The compound, named 4,5,6-trihydroxy-2-oxo-7-phosphonooxyheptanoic acid (CAS 9965-02-5), is a"
5-(1-carboxyethenoxy)-4-hydroxy-3-phosphonooxycyclohexene-1-carboxylic acid,A 5-(1-carboxyethenoxy)-4-hydroxy-3-phosphonooxycyclohexene-1-carboxylic acid derivative was obtained by reacting 5-(1-
3-hydroxyphosphonoyl-2-oxopropanoic acid,The chemical compound 3-hydroxyphosphonoyl-2-oxopropanoic acid (also known as 3-HPPOA) has been shown to promote collagen synthesis in skin cells and enhance w
"5-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-3-hydroxy-3-methyl-5-oxopentanoic acid",5-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methox
(3-carboxy-2-hydroxypropyl)-trimethylazanium,"A new compound, (3-carboxy-2-hydroxypropyl)-trimethylazanium, has recently emerged as a promising antitumor agent."
2-amino-3-hydroxybenzoic acid,The 2-amino-3-hydroxybenzoic acid (AAB) molecule is an organic compound that is a common intermediate in the biosynthesis of amino acids.
3-hydroxy-2-methylpropanoic acid,"3-hydroxy-2-methylpropanoic acid is a chemical compound that is found in many natural products, such as milk, cheese, and honey. It is also used as a food additive and"
"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-hydroxy-2-methylpropanethioate",The S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methox
2-amino-4-(2-amino-3-hydroxyphenyl)-4-oxobutanoic acid,A new compound with a unique structure is discovered that combines two previously known compounds in a unique and significant manner.
"6-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-4-hydroxy-6-oxohexanoic acid",A compound with the chemical formula [2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl
3-(3-hydroxyphenyl)propanoic acid,A 3-(3-hydroxyphenyl)propanoic acid molecule is formed when 3-hydroxyphenylalanine is converted to hydroxyphenylalanine by a enzyme called ty
3-ethenyl-6-[hydroxy-(6-methoxyquinolin-4-yl)methyl]-1-azabicyclo[2.2.2]octan-3-ol,3-ethenyl-6-[hydroxy-(6-methoxyquinolin-4-yl)methyl]-1-azabicyclo[2.2.2]octan-3-
3-oxohexanedioic acid,3-oxohexanedioic acid is a chemical compound with the chemical formula C22H36O6. It is stable at all temperatures and has a high boiling point (478°F or
"6-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-4,6-dioxohexanoic acid","The chemical compound, 6-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-"
"2,4,5,6-tetrahydroxy-3-oxohexanoic acid","A new compound with the unusual chemical structure, 2,4,5,6-tetrahydroxy-3-oxohexanoic acid, has been isolated from the bark of a South American shrub. The mole"
3-oxobutanoic acid,3-oxobutanoic acid is a chemical compound that is often used as a fatty acid in cosmetics. It functions as an emollient that helps to soften and smooth the skin.
"3,5-dihydroxy-2-(hydroxymethyl)-6-[4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-4-one","3,5-dihydroxy-2-(hydroxymethyl)-6-[4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]ox"
2-oxo-3-sulfanylpropanoic acid,2-oxo-3-sulfanylpropanoic acid is a chemical compound that is commonly used in the production of various pharmaceuticals and chemical intermediates.
"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-methylbut-2-enethioate",The molec
"4-hydroxy-3-(3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)benzoic acid","A chemical compound named 4-hydroxy-3-(3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,"
3-hydroxybenzaldehyde,"3-hydroxybenzaldehyde is a colorless, flammable, and highly toxic organic compound that is a precursor to benzene."
3-(hydroxymethyl)phenol,"The chemical compound 3-(hydroxymethyl)phenol is an organic compound that has a molecular weight of approximately 140. It is a white powder with a strong, pungent odor"
"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 4-(7,12-dihydroxy-10,13-dimethyl-3-oxo-1,2,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl)pentanethioate",The chemical compound S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]
2-(2-oxo-3H-furan-5-yl)acetic acid,2-(2-oxo-3H-furan-5-yl)acetic acid is a chemical compound that is used in the production of pharmaceuticals.
2-oxo-3-phosphonooxypropanoic acid,"A highly hydrophilic acid, 2-oxo-3-phosphonooxypropanoic acid (2-O3POPA), has been found to be non-toxic to cells in vitro and in"
2-amino-3-phosphonooxypropanoic acid,"2-amino-3-phosphonooxypropanoic acid is a chemical compound that is commonly used in cosmetics, perfumes, and pharmaceuticals. It is a colorless to pale yellow"
3-phenylpropanoic acid,3-phenylpropanoic acid is a chemical compound that is commonly found in the human body. It is an essential fatty acid that is essential for the proper functioning of the body. It is found in the adipose
2-pyridin-3-ylacetic acid,The chemical compound 2-pyridin-3-ylacetic acid is a yellow-orange liquid with a pungent odor. It is a potent inhibitor of the enzyme cysteine S
2-amino-3-sulfinopropanoic acid,2-amino-3-sulfinopropanoic acid is a chemical compound that is used in drug development.
2-oxo-3-sulfinopropanoic acid,"2-oxo-3-sulfinopropanoic acid is a chemical compound with the Formula C20H18NO3. The chemical compound is a colorless, odorless solid at room temperature."
3-(carbamoylamino)propanoic acid,The chemical compound 3-(carbamoylamino)propanoic acid is a key intermediate in the production of many biotechnological products.
3-hydroxy-2-oxo-4-phosphonooxybutanoate,The 3-hydroxy-2-oxo-4-phosphonooxybutanoate (HPOB) molecule has been shown to possess anti-cancer activity against several types of cancer cells.
3-hydroxy-2-oxo-4-phosphonooxybutanoic acid,The synthesis of 3-hydroxy-2-oxo-4-phosphonooxybutanoic acid by the action of 4-phosphonooxy-2-oxo-2-butanoic
4-pyridin-3-ylbutanoic acid,4-pyridin-3-ylbutanoic acid is a chemical compound that is a key component in plant growth.
"(5-amino-3,4-dihydroxyoxan-2-yl) dihydrogen phosphate",Amino acid N-methyl-D-aspartate (NMDA) receptors are involved in the pathophysiology of schizophrenia.
"4-amino-3-(1-carboxyethenoxy)cyclohexa-1,5-diene-1-carboxylic acid","The chemical compound 4-amino-3-(1-carboxyethenoxy)cyclohexa-1,5-diene-1-carboxylic acid is an essential component of the brain's"
4-amino-1H-imidazole-5-carboxylic acid,"The 4-amino-1H-imidazole-5-carboxylic acid molecule has a flexible structure, which allows for the interaction of two different chemical species, water and chloride ions."
4-aminobutanal,Aminobutyric acid is a non-essential amino acid that is synthesized in the liver to act as a neurotransmitter in the central nervous system.
4-aminobutanoic acid,"The chemical compound 4-aminobutanoic acid is a key building block in the biosynthesis of several biological molecules, including ribonucleotides, nucleotides, and nucleic acids."
2-(5-oxofuran-2-ylidene)acetic acid,"In the mid-1960s, researchers at the University of California at Berkeley found that the compound 2-(5-oxofuran-2-ylidene)acetic acid could be used as an ant"
"[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] (2,3,4-trihydroxy-3-methylbutyl) hydrogen phosphate","The chemical compound, 2,3,4-trihydroxy-3-methylbutyl hydrogen phosphate, is a compound with the molecular formula H3CCH2CU(O)CH"
"4,6-dioxooct-2-enedioic acid","The orange-tipped, four-winged butterfly, Ancylurus arcticus, is a species of freshwater fish from the genus Ancylurus and the family Ancyluridae."
4-(diaminomethylideneamino)butanamide,"The chemical compound 4-(diaminomethylideneamino)butanamide is a synthetic amine, and is widely used in organic synthesis. Its reactivity towards alcohols and esters is"
4-hydroxy-2-oxopentanoic acid,4-hydroxy-2-oxopentanoic acid is a chemical compound with the molecular formula C8H12O3. It is a member of the hexanoic acid group (C8H13
4-(hydroxymethyl)phenol,A chemical compound that contains a hydroxymethyl group and a phenol group.
4-hydroxybenzaldehyde,The chemical compound 4-hydroxybenzaldehyde is a weak acid with a weak acid-base reaction.
2-(4-hydroxyphenyl)acetic acid,This synthetic compound is chemically related to many natural compounds.
"3-(5-oxo-1,4-dihydroimidazol-4-yl)propanoic acid","The chemical compound, 3-(5-oxo-1,4-dihydroimidazol-4-yl)propanoic acid, is a colorless organic compound with the formula C10H1"
4-methylpentanal,"4-methylpentanal is a colorless, volatile, flammable liquid that is commonly used as a solvent and as a fragrance additive."
"2-hydroxy-4-oxobutane-1,2,4-tricarboxylic acid","2-hydroxy-4-oxobutane-1,2,4-tricarboxylic acid is a white, crystalline solid that is soluble in water, ethanol, and a"
"3-[(2-hydroxy-3,3-dimethyl-4-phosphonooxybutanoyl)amino]propanoic acid","The chemical compound 3-[(2-hydroxy-3,3-dimethyl-4-phosphonooxybutanoyl)amino]propanoic acid (CAS 4255-3"
"2-[3-[(2-hydroxy-3,3-dimethyl-4-phosphonooxybutanoyl)amino]propanoylamino]-3-sulfanylpropanoic acid","This chemical compound is synthesized from the precursor intermediate 3-[(2-hydroxy-3,3-dimethyl-4-phosphonooxybutanoyl)amino]propanoylamine"
trimethyl(4-oxobutyl)azanium,The trimethyl(4-oxobutyl)azanium compound is a synthetic organic chemistry compound that is commonly used in organic synthesis.
3-carboxypropyl(trimethyl)azanium,3-carboxypropyl(trimethyl)azanium is a white powder with a melting point of 169.6 °C. It is a strong base and has been used widely in the production
4-hydroxybenzoic acid,4-hydroxybenzoic acid is a chemical compound that is produced in the body by the metabolism of various organic compounds.
"2-[[4-(3-amino-1-oxo-5,6,6a,7-tetrahydro-4H-imidazo[1,5-f]pteridin-10-ium-8-yl)benzoyl]amino]pentanedioic acid","The chemical compound 2-[[4-(3-amino-1-oxo-5,6,6a,7-tetrahydro-4H-imidazo[1,5-f]pter"
5-amino-4-oxopentanoic acid,5-amino-4-oxopentanoic acid is a chemical compound found in plants and animals. It is a key component of the neurotransmitter acetylcholine.
5-aminopentanoic acid,5-aminopentanoic acid is a weak acid with the chemical formula C6H12O5. It is a colorless liquid with a slightly sour odor and a characteristic earthy taste.
"10,13-dimethyl-17-(6-methylheptan-2-yl)-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3,7,12-triol","10,13-dimethyl-17-(6-methylheptan-2-yl)-2,3,4,5,6,7,8,9,11,12,1"
"17-(7-hydroxy-6-methylheptan-2-yl)-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3,7,12-triol","The compound is known to be a potent inducer of apoptosis in various cancer cells, including breast, colon, cervical, and prostate cancers, as well as in leukemia and lymphoma cells."
"(3,4-dihydroxy-5-oxooxan-2-yl) [[5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] hydrogen phosphate","Based on the information provided in the text, what is the chemical compound described in the title of the article found in 3,4-dihydroxy-5-oxooxan-2-yl, [[5-(2,"
"2-(6-aminopurin-9-yl)-5-methyloxolane-3,4-diol","2-(6-aminopurin-9-yl)-5-methyloxolane-3,4-diol is a potent inhibitor of DNA synthesis in human cells, with IC50 of"
"2-[[4-[(2-amino-5-formyl-4-oxo-1,6,7,8-tetrahydropteridin-6-yl)methylamino]benzoyl]amino]pentanedioic acid","2-[(4-[(2-amino-5-formyl-4-oxo-1,6,7,8-tetrahydropteridin-6-yl)methylamino]ben"
2-amino-3-(5-hydroxy-1H-indol-3-yl)propanoic acid,"The compound consists of two amino acids, L-lysine and L-tryptophan, which are joined by a functional group, the amide bond, to form an acid-base pair."
"2,3-dihydroxy-5-oxohexanedioic acid","The chemical compound, 2,3-dihydroxy-5-oxohexanedioic acid, is a carboxylic acid that can be found in the oils of various plants, such as citrus f"
